source,id,url,title,object,fix pattern
GH,I1,https://github.com/hashicorp/packer/issues/901,Docker build hangs Waiting for exit code to appear for remote command...,Environment,Change container architecture
GH,I2,https://github.com/hashicorp/packer/issues/1095,Docker build leaves container behind if error occurs,Configuration,Add build argument
GH,I4,https://github.com/sbt/sbt-native-packager/issues/310,Docker Build Fail,Environment,Upgrade Docker version
GH,I11,https://github.com/CiscoCloud/distributive/issues/99,docker build fails due to incorrect time,Dependency,Resolve upstream error
GH,I20,https://github.com/AdaptiveConsulting/ReactiveTraderCloud/issues/165,docker build failing with last docker toolbox,Dependency,Upgrade dependency version
GH,I30,https://github.com/telefonicaid/fiware-orion/issues/2470,gmock repository changed and Docker build fails,Dependency,Add missing depedency
GH,I45,https://github.com/mastodon/mastodon/issues/869,Failing docker-compose build,Environment,Upgrade Docker version
GH,I53,https://github.com/takeoff-env/takeoff/issues/12,Windows docker-compose build fails,Tool/plugin,Use suitable tool/plugin
GH,I54,https://github.com/rapid7/metasploit-framework/issues/9019,Travis docker-compose Build Jobs failed with timeouts,Tool/plugin,Correct tool/plugin setting
GH,I56,https://github.com/nativefier/nativefier/issues/461,Docker build fails on failing to parse mime-db/db.json,Environment,Change base image
GH,I57,https://github.com/reactql/kit/issues/111,Docker build fails when the source references a *.png in the static folder,Dependency,Upgrade dependency version
GH,I61,https://github.com/adoptium/temurin-build/issues/194,docker builds failing,Resource,Change file name
GH,I63,https://github.com/sudomesh/sudowrt-firmware/issues/119,docker build system eats up disk space on local builds machine,Configuration,Add build argument
GH,I67,https://github.com/badges/shields/issues/1435,failed docker build due to missing git,Dependency,Add missing depedency
GH,I74,https://github.com/nexe/nexe/issues/467,Failed to compile without a TTY (example: docker build),Tool/plugin,Correct tool/plugin setting
GH,I76,https://github.com/adoptium/temurin-build/issues/273,Docker builds do not honour the --ssh flag being passed through,Security,Correct authentication setting
GH,I77,https://github.com/adoptium/temurin-build/issues/274,openjdk-build/docker builds fail because of repo location and then further failures.,Configuration,Use suitable command
GH,I81,https://github.com/openfaas/faas-cli/issues/392,Build returns docker build requires exactly 1 argument with particular build-arg values,Configuration,Correct build argument
GH,I82,https://github.com/serverless/serverless-python-requirements/issues/184,Docker build fails if space in Path,Resource,Correct path/location
GH,I84,https://github.com/ParallelSSH/ssh2-python/issues/25,Docker builds not working with older versions of libssh2 and EMBEDDED_LIB=0,Dependency,Upgrade dependency version
GH,I85,https://github.com/buildkite/agent/issues/778,legacy docker-compose builds with multiple commands broken in v3,Configuration,Correct command format
GH,I88,https://github.com/Glavin001/atom-beautify/issues/2190,Docker version check broke on nightly docker build,Dependency,Resolve upstream error
GH,I96,https://github.com/OWASP/Nettacker/issues/188,Docker build with alpine ERROR: unsatisfiable constraints,Environment,Change base image
GH,I99,https://github.com/aviaviavi/toodles/issues/54,docker build issues since 1.0.0,Environment,Change base image
GH,I102,https://github.com/DangerOnTheRanger/maniwani/issues/33,Docker-compose build fails on old versions of docker and docker compose (Fedora),Environment,Restart build operation
GH,I105,https://github.com/yggdrasil-network/yggdrasil-go/issues/263,Docker build fails: GCC missing,Tool/plugin,Correct tool/plugin setting
GH,I106,https://github.com/habitat-sh/builder/issues/255,Docker build failed when trying to publish to Docker Hub Container Registry,Configuration,Correct command parameter
GH,I107,https://github.com/jellyfin/jellyfin/issues/425,docker build fails in latest dev branch,Tool/plugin,Correct tool/plugin setting
GH,I108,https://github.com/writefreely/writefreely/issues/57,Docker build doesn t compile static assets,Resource,Correct path/location
